number,value,params,datetime_start
27,0.47273482872639966,"{'n_d_a': 20, 'n_steps': 3, 'gamma': 2.3258171577319415, 'lambda_sparse': 1.0151081751689294e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03192775451608015, 'weight_decay': 5.449812206785806e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 2, 'n_shared': 3, 'patience': 53, 'batch_size': 512}",2025-09-18 18:38:50.184951
28,0.4503745917079825,"{'n_d_a': 32, 'n_steps': 4, 'gamma': 2.1182289097319678, 'lambda_sparse': 1.8864077043258747e-05, 'mask_type': 'sparsemax', 'learning_rate': 0.028570154247866065, 'weight_decay': 3.060713361764134e-06, 'virtual_batch_size': 128, 'cat_emb_dim': 4, 'n_independent': 1, 'n_shared': 4, 'patience': 63, 'batch_size': 2048}",2025-09-18 18:42:17.151810
29,0.46630250574264737,"{'n_d_a': 56, 'n_steps': 6, 'gamma': 2.677579552734003, 'lambda_sparse': 6.350193742344354e-06, 'mask_type': 'entmax', 'learning_rate': 0.004181451304314939, 'weight_decay': 2.205883646029475e-05, 'virtual_batch_size': 256, 'cat_emb_dim': 3, 'n_independent': 2, 'n_shared': 3, 'patience': 43, 'batch_size': 1024}",2025-09-18 18:45:49.194550
30,0.4600328579257287,"{'n_d_a': 64, 'n_steps': 7, 'gamma': 2.3468552008958072, 'lambda_sparse': 2.5438816595769167e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.0024030025095240905, 'weight_decay': 7.772490573857934e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 2, 'n_shared': 4, 'patience': 57, 'batch_size': 1024}",2025-09-18 18:50:14.199222
31,0.4918571836177586,"{'n_d_a': 28, 'n_steps': 3, 'gamma': 2.761516577425175, 'lambda_sparse': 4.850231764244239e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03892607592865668, 'weight_decay': 1.2904359063992915e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 3, 'n_shared': 4, 'patience': 51, 'batch_size': 512}",2025-09-18 18:57:32.813622
32,0.45880411363113865,"{'n_d_a': 24, 'n_steps': 3, 'gamma': 2.9941277832825035, 'lambda_sparse': 8.901944078026799e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.037499154682433984, 'weight_decay': 1.133218851352039e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 3, 'n_shared': 4, 'patience': 51, 'batch_size': 512}",2025-09-18 19:02:38.367904
33,0.4767972314336056,"{'n_d_a': 16, 'n_steps': 3, 'gamma': 2.7630375758026666, 'lambda_sparse': 4.932294086497386e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03860309334685305, 'weight_decay': 1.559513777500493e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 3, 'n_shared': 5, 'patience': 45, 'batch_size': 512}",2025-09-18 19:06:59.648612
34,0.49101720988227254,"{'n_d_a': 28, 'n_steps': 4, 'gamma': 2.5474968901132438, 'lambda_sparse': 2.1244313223444276e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.049568160097770986, 'weight_decay': 2.5188235247619528e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 4, 'n_shared': 3, 'patience': 60, 'batch_size': 512}",2025-09-18 19:10:15.229230
35,0.4812296851929496,"{'n_d_a': 24, 'n_steps': 4, 'gamma': 2.81691839553567, 'lambda_sparse': 1.815432627147125e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.02220512964587478, 'weight_decay': 2.2975798645284914e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 4, 'n_shared': 3, 'patience': 59, 'batch_size': 512}",2025-09-18 19:19:03.842326
36,0.47127297763067705,"{'n_d_a': 44, 'n_steps': 4, 'gamma': 2.5884919266699606, 'lambda_sparse': 2.451574846413163e-06, 'mask_type': 'entmax', 'learning_rate': 0.035552276401881425, 'weight_decay': 9.501398946643229e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 1, 'n_independent': 4, 'n_shared': 3, 'patience': 50, 'batch_size': 512}",2025-09-18 19:26:37.969604
37,0.4497819588532626,"{'n_d_a': 36, 'n_steps': 5, 'gamma': 2.5031116580591886, 'lambda_sparse': 1.4672489110887447e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.01939768390145286, 'weight_decay': 2.8451348331245903e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 4, 'n_independent': 5, 'n_shared': 3, 'patience': 20, 'batch_size': 512}",2025-09-18 19:29:46.071224
38,0.4659895262452807,"{'n_d_a': 16, 'n_steps': 3, 'gamma': 2.659210548099761, 'lambda_sparse': 0.0001483700419587594, 'mask_type': 'sparsemax', 'learning_rate': 0.02811530023913694, 'weight_decay': 7.134977065447929e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 4, 'n_shared': 2, 'patience': 36, 'batch_size': 1024}",2025-09-18 19:34:30.614888
39,0.47070701650343444,"{'n_d_a': 20, 'n_steps': 9, 'gamma': 2.840431779414233, 'lambda_sparse': 4.0669245193411235e-06, 'mask_type': 'entmax', 'learning_rate': 0.0030433279025400242, 'weight_decay': 5.115966671406472e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 4, 'n_independent': 5, 'n_shared': 5, 'patience': 54, 'batch_size': 512}",2025-09-18 19:36:11.543564
40,0.4909734166493158,"{'n_d_a': 12, 'n_steps': 4, 'gamma': 2.557885073432591, 'lambda_sparse': 2.947108394876209e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03813415231858008, 'weight_decay': 1.849011284607099e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 3, 'n_shared': 3, 'patience': 60, 'batch_size': 2048}",2025-09-18 19:57:02.582112
41,0.47378759562498124,"{'n_d_a': 12, 'n_steps': 4, 'gamma': 2.5812708857163105, 'lambda_sparse': 2.853328248388054e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03860353604562602, 'weight_decay': 1.876321698654068e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 3, 'n_shared': 3, 'patience': 62, 'batch_size': 2048}",2025-09-18 19:59:42.672457
42,0.45640320086514946,"{'n_d_a': 28, 'n_steps': 5, 'gamma': 2.3328749473372707, 'lambda_sparse': 5.3549346869846275e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.029258469336549832, 'weight_decay': 1.2267608618916632e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 4, 'n_shared': 3, 'patience': 59, 'batch_size': 2048}",2025-09-18 20:01:29.433493
43,0.4518764600521558,"{'n_d_a': 8, 'n_steps': 4, 'gamma': 2.4062651729264974, 'lambda_sparse': 1.3469625569935634e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.016205181925689965, 'weight_decay': 2.6582375867249228e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 3, 'n_shared': 2, 'patience': 55, 'batch_size': 2048}",2025-09-18 20:04:46.701059
44,0.4761202401157207,"{'n_d_a': 8, 'n_steps': 3, 'gamma': 2.515324676880381, 'lambda_sparse': 2.0523466972398324e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04166218494467045, 'weight_decay': 1.776582177021417e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 3, 'n_shared': 3, 'patience': 63, 'batch_size': 2048}",2025-09-18 20:06:34.615112
45,0.4890231710987028,"{'n_d_a': 20, 'n_steps': 5, 'gamma': 2.853052695514336, 'lambda_sparse': 0.0008988656994962064, 'mask_type': 'sparsemax', 'learning_rate': 0.04998671923183669, 'weight_decay': 9.846641189491062e-06, 'virtual_batch_size': 128, 'cat_emb_dim': 1, 'n_independent': 4, 'n_shared': 3, 'patience': 58, 'batch_size': 2048}",2025-09-18 20:09:24.149521
46,0.4708793415409041,"{'n_d_a': 36, 'n_steps': 7, 'gamma': 2.0398587072640293, 'lambda_sparse': 3.9715824212369014e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.012208858857159078, 'weight_decay': 3.8590233063530275e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 5, 'n_shared': 2, 'patience': 66, 'batch_size': 512}",2025-09-18 20:18:20.508473
47,0.46398252688967423,"{'n_d_a': 12, 'n_steps': 4, 'gamma': 2.2120695674840274, 'lambda_sparse': 0.0005396140816746083, 'mask_type': 'sparsemax', 'learning_rate': 0.024266454204150675, 'weight_decay': 8.121761264142655e-06, 'virtual_batch_size': 256, 'cat_emb_dim': 3, 'n_independent': 3, 'n_shared': 3, 'patience': 49, 'batch_size': 512}",2025-09-18 20:26:39.953027
48,0.4673242701257996,"{'n_d_a': 44, 'n_steps': 3, 'gamma': 2.9301869025726823, 'lambda_sparse': 6.573964637168548e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.006388886713551757, 'weight_decay': 1.3047213991836204e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 4, 'n_shared': 4, 'patience': 39, 'batch_size': 512}",2025-09-18 20:30:01.684212
49,0.4657900084110464,"{'n_d_a': 28, 'n_steps': 6, 'gamma': 1.878833658900463, 'lambda_sparse': 1.3290935774955704e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04106204502311236, 'weight_decay': 6.5811694446945944e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 4, 'n_shared': 3, 'patience': 33, 'batch_size': 2048}",2025-09-18 20:32:57.049623
50,0.47581024391778476,"{'n_d_a': 60, 'n_steps': 4, 'gamma': 2.674312080678021, 'lambda_sparse': 3.149394935021574e-06, 'mask_type': 'entmax', 'learning_rate': 0.02456463657605194, 'weight_decay': 1.0600484221683062e-06, 'virtual_batch_size': 128, 'cat_emb_dim': 2, 'n_independent': 3, 'n_shared': 2, 'patience': 61, 'batch_size': 512}",2025-09-18 20:34:58.763943
51,0.4619660690424108,"{'n_d_a': 32, 'n_steps': 3, 'gamma': 2.1936585782990825, 'lambda_sparse': 9.502608820951745e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.048925547541560144, 'weight_decay': 1.7728248798539815e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 4, 'patience': 69, 'batch_size': 512}",2025-09-18 20:39:26.300871
52,0.4660868627167824,"{'n_d_a': 36, 'n_steps': 3, 'gamma': 2.552472210216453, 'lambda_sparse': 8.489597189962005e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03318603328058931, 'weight_decay': 2.413735000266049e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 2, 'n_shared': 4, 'patience': 68, 'batch_size': 512}",2025-09-18 20:42:16.760091
53,0.4546133959578347,"{'n_d_a': 24, 'n_steps': 4, 'gamma': 2.055650287031267, 'lambda_sparse': 4.983921966881782e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04206913891895615, 'weight_decay': 1.4307249159242643e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 2, 'n_shared': 5, 'patience': 64, 'batch_size': 512}",2025-09-18 20:44:35.887700
54,0.47957928928698285,"{'n_d_a': 40, 'n_steps': 3, 'gamma': 2.3900157362597407, 'lambda_sparse': 1.3640491896902974e-05, 'mask_type': 'sparsemax', 'learning_rate': 0.029848769884246888, 'weight_decay': 1.1180393725227522e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 4, 'patience': 46, 'batch_size': 512}",2025-09-18 20:49:17.999246
55,0.49085755999874153,"{'n_d_a': 4, 'n_steps': 3, 'gamma': 2.4967814496066905, 'lambda_sparse': 2.2774728877597943e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03483653101165198, 'weight_decay': 3.20118905825667e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 4, 'n_independent': 3, 'n_shared': 3, 'patience': 60, 'batch_size': 512}",2025-09-18 20:52:51.423948
56,0.47618194459232793,"{'n_d_a': 4, 'n_steps': 5, 'gamma': 2.4866504481775342, 'lambda_sparse': 1.9439240835724748e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03530404760508982, 'weight_decay': 3.625094457487242e-05, 'virtual_batch_size': 256, 'cat_emb_dim': 4, 'n_independent': 3, 'n_shared': 3, 'patience': 60, 'batch_size': 512}",2025-09-18 20:56:20.517013
57,0.4653241534973516,"{'n_d_a': 8, 'n_steps': 4, 'gamma': 2.776985562327468, 'lambda_sparse': 3.1416111306407877e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.021677308934485013, 'weight_decay': 6.091310080403185e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 4, 'n_independent': 3, 'n_shared': 3, 'patience': 52, 'batch_size': 1024}",2025-09-18 21:04:33.662080
58,0.47723366850724513,"{'n_d_a': 4, 'n_steps': 3, 'gamma': 2.6279281846681837, 'lambda_sparse': 2.4572104298631715e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.026370164600775566, 'weight_decay': 3.1002942152099635e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 4, 'n_independent': 3, 'n_shared': 3, 'patience': 57, 'batch_size': 512}",2025-09-18 21:07:39.174386
59,0.47067690777003496,"{'n_d_a': 12, 'n_steps': 4, 'gamma': 1.4611882254382769, 'lambda_sparse': 0.00011443396475718517, 'mask_type': 'sparsemax', 'learning_rate': 0.017855305453254037, 'weight_decay': 4.3633873276883e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 3, 'n_shared': 2, 'patience': 54, 'batch_size': 2048}",2025-09-18 21:12:16.533073
60,0.4811663290833943,"{'n_d_a': 16, 'n_steps': 5, 'gamma': 2.7210298665301833, 'lambda_sparse': 1.2118926687085508e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03197638182281315, 'weight_decay': 2.3278660175581167e-05, 'virtual_batch_size': 128, 'cat_emb_dim': 2, 'n_independent': 5, 'n_shared': 3, 'patience': 47, 'batch_size': 512}",2025-09-18 21:13:58.881445
61,0.47986539525126953,"{'n_d_a': 32, 'n_steps': 3, 'gamma': 2.436953278672772, 'lambda_sparse': 3.7750834724978756e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04273190170911574, 'weight_decay': 1.6188969696080996e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 3, 'patience': 68, 'batch_size': 512}",2025-09-18 21:25:36.796593
62,0.4760307498193703,"{'n_d_a': 28, 'n_steps': 3, 'gamma': 2.3116354050421104, 'lambda_sparse': 5.846309266578641e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04636380563338371, 'weight_decay': 1.9588012453693668e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 4, 'n_independent': 2, 'n_shared': 4, 'patience': 65, 'batch_size': 512}",2025-09-18 21:29:08.053188
63,0.49268183036312846,"{'n_d_a': 8, 'n_steps': 3, 'gamma': 2.5439015784856975, 'lambda_sparse': 2.115515202009902e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.049747194433814965, 'weight_decay': 8.81872946460845e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 3, 'patience': 56, 'batch_size': 512}",2025-09-18 21:31:53.018791
64,0.4766162153256575,"{'n_d_a': 8, 'n_steps': 3, 'gamma': 2.5715860963055137, 'lambda_sparse': 2.119993853271886e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.0373443884673558, 'weight_decay': 8.939255228873003e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 3, 'patience': 56, 'batch_size': 512}",2025-09-18 21:33:53.369198
65,0.49019645930704375,"{'n_d_a': 4, 'n_steps': 4, 'gamma': 2.5288501143085846, 'lambda_sparse': 1.558588602343328e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04343703671455749, 'weight_decay': 6.296654488717553e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 1, 'n_shared': 3, 'patience': 43, 'batch_size': 512}",2025-09-18 21:37:42.398244
66,0.47883100682227325,"{'n_d_a': 4, 'n_steps': 4, 'gamma': 2.6899776047367507, 'lambda_sparse': 1.0256496576330093e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03194571236896845, 'weight_decay': 4.040810785705375e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 1, 'n_shared': 3, 'patience': 43, 'batch_size': 512}",2025-09-18 21:40:36.412230
