trial,d_model,n_heads,n_layers,ff_mult,dropout,attn_dropout,token_dropout,lr,weight_decay,warmup_ratio,min_lr,step_size,gamma,label_smoothing,focal_gamma,batch_size,epochs,grad_clip,patience,alpha0,alpha1,alpha2,alpha_vec,f1_macro,f1_c0,f1_c1,f1_c2,precision_c0,precision_c1,precision_c2,recall_c0,recall_c1,recall_c2,precision_macro,recall_macro,accuracy
23,192,6,9,6,0.15000000000000002,0.2,0.1,0.00024385056392476194,0.002511751366287209,0.060000000000000005,5.248814280706518e-05,5,0.5,0.1,1.1,128,40,1.5,15,1.25,1.3,1.15,"1.2500,1.3000,1.1500",0.4763386957349513,0.5452679121330323,0.34820867379006915,0.5355395012817525,0.660367976131278,0.3637557452396586,0.43555724033358606,0.4643356643356643,0.33393610608800484,0.6950998185117967,0.4865603205681743,0.4977905296451553,0.49108878807517825
24,192,6,8,6,0.2,0.15000000000000002,0.15000000000000002,0.0002716885758741713,0.001144429047792461,0.060000000000000005,5.2211662827519764e-05,10,0.4,0.1,0.2,128,40,1.5,15,1.2000000000000002,1.35,0.8500000000000001,"1.2000,1.3500,0.8500",0.4753220569629515,0.5581303228362052,0.3512434755910347,0.5165923724616147,0.6436729100045683,0.3579474342928661,0.4373165618448637,0.4926573426573427,0.3447860156720916,0.6309739866908651,0.47964563538076604,0.48947244834009984,0.4899546338302009
26,192,6,9,5,0.1,0.2,0.2,0.00015948350848153,0.0014655042810047276,0.09999999999999999,7.644767958373462e-05,5,0.5,0.1,1.0,128,40,1.5,15,1.5,1.4,1.15,"1.5000,1.4000,1.1500",0.41230327055435906,0.6269364527347455,0.13133208255159476,0.478641276376737,0.572129255626082,0.2959830866807611,0.41648007165248546,0.6933566433566434,0.08438818565400844,0.5626134301270418,0.4281974713197762,0.44678608637923123,0.49465327284510696
27,192,12,8,6,0.2,0.25,0.05,0.0009143633468942394,0.0019544893867739195,0.05,3.885724138321853e-05,5,0.30000000000000004,0.1,1.4000000000000001,128,40,1.5,15,1.1,1.2000000000000002,1.5,"1.1000,1.2000,1.5000",0.47423015467044544,0.5616683217477656,0.31854145166838665,0.542480690595184,0.6501149425287356,0.37099358974358976,0.4343397599126955,0.4944055944055944,0.27908378541289935,0.7223230490018149,0.4851494307283402,0.49860414294010286,0.4975696694750486
28,192,6,10,6,0.1,0.1,0.1,0.00040296931666632227,0.0007522880776684732,0.060000000000000005,6.773159730851642e-05,5,0.5,0.1,0.6000000000000001,128,40,1.5,15,1.4,1.4,0.75,"1.4000,1.4000,0.7500",0.4234824760416264,0.5575447570332481,0.3622350674373796,0.3506676036542516,0.5440931780366056,0.3333333333333333,0.41827326068734283,0.5716783216783217,0.39662447257383965,0.3018753781004235,0.4318999240190939,0.4233927241175283,0.4523655217109527
29,192,4,7,5,0.2,0.25,0.05,8.879106051463463e-05,0.00038660037616108716,0.05,4.44426651011178e-05,5,0.4,0.1,1.9000000000000001,128,40,0.5,15,1.1,1.15,1.1,"1.1000,1.1500,1.1000",0.4751427856673998,0.5617798967024236,0.33962264150943394,0.5240258187903418,0.6504139834406624,0.361716621253406,0.433201581027668,0.4944055944055944,0.32007233273056057,0.663036902601331,0.4817773952405788,0.49250494324582866,0.4927090084251458
31,192,6,10,6,0.15000000000000002,0.2,0.1,0.00019753313138633005,0.0029374148678092465,0.03,5.669510336990098e-05,5,0.5,0.1,1.0,128,40,2.0,15,1.3,1.25,1.25,"1.3000,1.2500,1.2500",0.43612517805273443,0.6321313695615371,0.13514827418570735,0.541095890410959,0.6127338365605514,0.3492462311557789,0.43454345434543457,0.6527972027972028,0.08378541289933696,0.7168784029038112,0.465507840687255,0.484487006200117,0.5170123136746597
32,192,6,11,6,0.15000000000000002,0.2,0.15000000000000002,0.0003615659252576333,0.0018807295574262489,0.03,9.135731433471737e-05,5,0.5,0.1,1.2000000000000002,128,40,2.0,15,1.35,1.3,1.1,"1.3500,1.3000,1.1000",0.47570242314192096,0.5574815700338713,0.3415571932073054,0.5280685061845861,0.6479851783232978,0.3645690834473324,0.4351234809878479,0.48916083916083913,0.32127787823990356,0.6715063520871143,0.48255924758615937,0.49398168982928564,0.4928710304601426
33,192,6,10,5,0.1,0.15000000000000002,0.1,0.00015092574929849898,0.001886124736580203,0.02,4.3233634841769605e-05,5,0.5,0.1,0.7000000000000001,128,40,1.0,15,1.15,1.5,1.3,"1.1500,1.5000,1.3000",0.477507344909428,0.5467213114754098,0.347661188369153,0.5381395348837209,0.6603960396039604,0.3654485049833887,0.4370986021911598,0.4664335664335664,0.33152501506931886,0.6999395039322444,0.4876477155928363,0.4992993618117099,0.4927090084251458
35,192,12,9,5,0.05,0.15000000000000002,0.05,0.00012945210364283878,0.0009804188498327934,0.02,4.3126907454635754e-05,5,0.4,0.1,0.6000000000000001,128,40,1.0,15,1.1,1.5,1.3,"1.1000,1.5000,1.3000",0.47761583411620395,0.5451166632252736,0.34712864934231635,0.5406021897810219,0.6656580937972768,0.3710562414266118,0.43390699377517394,0.46153846153846156,0.32610006027727545,0.7168784029038112,0.4902071096663542,0.5015056415731828,0.4935191186001296
41,192,12,9,5,0.05,0.15000000000000002,0.05,0.00012955499544068595,0.0009119864925599233,0.02,4.1942866759400235e-05,5,0.4,0.1,0.6000000000000001,128,40,1.0,15,1.1,1.5,1.35,"1.1000,1.5000,1.3500",0.4795276807432916,0.5689183912534166,0.3399734395750332,0.5296912114014252,0.6441202475685235,0.37841832963784183,0.43605788032850995,0.5094405594405594,0.3086196503918023,0.6745311554748942,0.4861988191782918,0.49753045510241867,0.49967595593000647
42,192,12,9,5,0.05,0.1,0.05,0.00013164801494154108,0.0007089492542610203,0.02,4.231664611559303e-05,5,0.4,0.1,0.6000000000000001,128,40,1.0,15,1.1,1.5,1.35,"1.1000,1.5000,1.3500",0.47819830027023036,0.5511328842620943,0.35268550139708166,0.5307765151515151,0.6620892594409024,0.36363636363636365,0.43601711396343834,0.47202797202797203,0.3423749246534057,0.6781609195402298,0.48724757901356813,0.49752127207386915,0.4923849643551523
43,192,12,8,5,0.05,0.1,0.05,0.00013293132058727413,0.0007377507964419661,0.02,4.177200246111528e-05,5,0.4,0.1,0.5,128,40,1.0,15,1.1,1.5,1.35,"1.1000,1.5000,1.3500",0.4760042878786601,0.5431587663009729,0.34403080872913994,0.5408232886058676,0.6656519533231862,0.3678792038435141,0.43330903790087466,0.45874125874125876,0.323086196503918,0.7192982456140351,0.4889467316891916,0.5003752336197372,0.4920609202851588
44,192,12,9,5,0.0,0.15000000000000002,0.05,6.728347448172871e-05,0.0005327460939067326,0.02,2.987364048390924e-05,5,0.30000000000000004,0.1,0.1,128,40,1.0,15,1.05,1.4500000000000002,1.4500000000000002,"1.0500,1.4500,1.4500",0.4781760740315575,0.5462046204620462,0.34684684684684686,0.5414767547857794,0.6659959758551308,0.3719806763285024,0.4343692870201097,0.46293706293706294,0.32489451476793246,0.7186932849364791,0.490781979734581,0.5021749542138249,0.4943292287751134
45,192,12,9,5,0.0,0.1,0.05,5.250060337895597e-05,0.0004943094010419395,0.01,2.7214333377569742e-05,5,0.30000000000000004,0.1,0.2,128,40,0.5,15,1.0,1.4,1.5,"1.0000,1.4000,1.5000",0.4775050325461385,0.5482815057283142,0.3408650742414461,0.5433685176686553,0.6607495069033531,0.3669214732453092,0.4377079482439926,0.46853146853146854,0.3182640144665461,0.7162734422262553,0.48845964279755166,0.5010229750747567,0.4944912508101102
