trial,iterations,learning_rate,depth,l2_leaf_reg,border_count,random_strength,bagging_temperature,weights_0,weights_1,weights_2,f1_macro
23,1600,0.13,7,14.0,208,0.0,0.47,1.8000000000000003,2.9000000000000004,2.3000000000000003,0.503192383560183
24,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.0,2.2,0.49319628422487355
25,1600,0.13,7,14.0,208,0.0,0.47,1.2000000000000002,1.8000000000000003,1.8000000000000003,0.5019153413036954
26,1600,0.13,7,14.0,208,0.0,0.47,0.7000000000000001,2.8000000000000003,2.3000000000000003,0.4499702312241558
27,1600,0.13,7,14.0,208,0.0,0.47,2.0,2.4000000000000004,2.8000000000000003,0.464407591620966
28,1600,0.13,7,14.0,208,0.0,0.47,2.5000000000000004,1.9000000000000001,3.0,0.412005697652718
29,1600,0.13,7,14.0,208,0.0,0.47,1.7000000000000002,3.0,2.1,0.5028525224634236
30,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.0,2.1,0.5030005571209901
31,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.0,2.1,0.5030005571209901
32,1600,0.13,7,14.0,208,0.0,0.47,2.3000000000000003,3.0,2.0,0.4717973177912222
33,1600,0.13,7,14.0,208,0.0,0.47,2.8000000000000003,2.9000000000000004,1.6,0.3962815281739774
34,1600,0.13,7,14.0,208,0.0,0.47,2.0,1.3000000000000003,2.1,0.4100006595706926
35,1600,0.13,7,14.0,208,0.0,0.47,1.9000000000000001,3.0,2.3000000000000003,0.5045072156836835
36,1600,0.13,7,14.0,208,0.0,0.47,2.4000000000000004,2.8000000000000003,2.3000000000000003,0.46647075678878974
37,1600,0.13,7,14.0,208,0.0,0.47,2.1,2.3000000000000003,2.4000000000000004,0.4642493582270227
38,1600,0.13,7,14.0,208,0.0,0.47,1.9000000000000001,1.4000000000000001,1.8000000000000003,0.4106017906697345
39,1600,0.13,7,14.0,208,0.0,0.47,2.7,2.6,1.5000000000000002,0.42161719288623534
40,1600,0.13,7,14.0,208,0.0,0.47,3.0,2.4000000000000004,2.0,0.4018221550224392
41,1600,0.13,7,14.0,208,0.0,0.47,1.8000000000000003,3.0,2.2,0.5025057801689963
42,1600,0.13,7,14.0,208,0.0,0.47,2.1,2.9000000000000004,2.1,0.49906731358523776
43,1600,0.13,7,14.0,208,0.0,0.47,1.8000000000000003,3.0,2.4000000000000004,0.5044846989084769
44,1600,0.13,7,14.0,208,0.0,0.47,2.3000000000000003,2.7,2.4000000000000004,0.46120634516832454
45,1600,0.13,7,14.0,208,0.0,0.47,1.9000000000000001,2.9000000000000004,1.9000000000000001,0.4981229512167338
46,1600,0.13,7,14.0,208,0.0,0.47,1.5000000000000002,0.6,1.3000000000000003,0.4098225218454792
47,1600,0.13,7,14.0,208,0.0,0.47,1.1,2.5000000000000004,2.4000000000000004,0.4868036549042773
48,1600,0.13,7,14.0,208,0.0,0.47,0.1,2.3000000000000003,2.3000000000000003,0.3043012096624363
49,1600,0.13,7,14.0,208,0.0,0.47,2.1,2.9000000000000004,1.7000000000000002,0.470151937718831
50,1600,0.13,7,14.0,208,0.0,0.47,2.4000000000000004,2.7,2.5000000000000004,0.46225344727593715
51,1600,0.13,7,14.0,208,0.0,0.47,1.7000000000000002,3.0,2.1,0.5028525224634236
52,1600,0.13,7,14.0,208,0.0,0.47,1.8000000000000003,2.9000000000000004,1.9000000000000001,0.4915062273479249
53,1600,0.13,7,14.0,208,0.0,0.47,1.4000000000000001,3.0,2.2,0.4948036523736838
54,1600,0.13,7,14.0,208,0.0,0.47,1.6,2.8000000000000003,2.6,0.5035700953735445
55,1600,0.13,7,14.0,208,0.0,0.47,1.6,2.6,2.5000000000000004,0.5026069914101204
56,1600,0.13,7,14.0,208,0.0,0.47,2.0,2.8000000000000003,2.7,0.5015541919474851
57,1600,0.13,7,14.0,208,0.0,0.47,1.3000000000000003,1.0,0.4,0.30767909697858936
