trial,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_border_count,param_random_strength,param_bagging_temperature,f1_macro,accuracy
1322,800,0.16999999999999998,7,3.0,216,0.4,0.8,0.4818451150611925,0.4967595593000648
1323,700,0.16999999999999998,7,2.0,208,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1324,600,0.18,7,1.0,224,2.6,0.9,0.4757092018537234,0.4891445236552171
1325,700,0.16999999999999998,7,2.0,216,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1326,600,0.19,7,2.0,208,0.0,0.8500000000000001,0.4816720651807909,0.4956254050550875
1327,600,0.18,7,3.0,200,0.2,0.8,0.48232799407489324,0.4969215813350616
1328,700,0.16999999999999998,7,2.0,208,0.0,0.9,0.4824381700693685,0.49724562540505507
1329,600,0.16999999999999998,7,1.0,216,0.2,0.8500000000000001,0.480805212167082,0.49497731691510044
1330,700,0.18,7,2.0,224,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1331,800,0.16999999999999998,7,3.0,208,0.0,0.8,0.47990825493465045,0.4948152948801037
1332,600,0.16999999999999998,7,2.0,216,0.2,0.9,0.47879494096903646,0.4933570965651329
1333,700,0.18,7,2.0,200,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1334,600,0.16999999999999998,7,1.0,208,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1335,700,0.16999999999999998,6,2.0,216,0.2,0.8,0.4809456982943014,0.49611147116007775
1336,800,0.16999999999999998,7,3.0,208,0.0,0.9,0.48227416361802095,0.4970836033700583
1337,600,0.18,7,18.0,224,0.2,0.8500000000000001,0.48018535170540994,0.495301360985094
1338,800,0.16999999999999998,7,1.0,216,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1339,700,0.16999999999999998,7,2.0,200,0.8,0.8,0.47734839300285414,0.4907647440051847
1340,600,0.19,7,3.0,208,0.4,0.8500000000000001,0.4793334758842153,0.4940051847051199
1341,700,0.18,7,2.0,216,0.0,0.9,0.48109831546015486,0.49659753726506806
1342,600,0.16999999999999998,8,1.0,200,3.8000000000000003,0.8500000000000001,0.4809857532709339,0.495301360985094
1343,600,0.16999999999999998,7,2.0,208,0.2,0.8,0.48108163434124185,0.4962734931950745
1344,700,0.12000000000000001,7,3.0,216,0.0,0.8500000000000001,0.4815940258684804,0.49611147116007775
1345,800,0.18,7,2.0,224,0.0,0.9500000000000001,0.4807885059170726,0.4956254050550875
1346,600,0.16999999999999998,7,1.0,208,3.4000000000000004,0.9,0.479865011743487,0.4938431626701231
1347,1600,0.16999999999999998,7,19.0,80,0.2,0.8500000000000001,0.47977641142524946,0.49465327284510696
1348,700,0.18,7,2.0,216,0.0,0.8,0.4801424090224476,0.49497731691510044
1349,600,0.16999999999999998,7,3.0,200,1.4000000000000001,0.8500000000000001,0.4796398469832955,0.49254698639014904
1350,700,0.16999999999999998,7,2.0,120,0.2,0.9,0.47879494096903646,0.4933570965651329
1351,600,0.18,7,2.0,208,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1352,800,0.16999999999999998,7,2.0,224,0.0,0.8,0.48185343590509006,0.4967595593000648
1353,700,0.16999999999999998,7,1.0,208,0.2,0.8500000000000001,0.480805212167082,0.49497731691510044
